,day,number,total
0,0,386,386
1,1,1,387
2,2,2,389
3,3,6,395
4,5,1,396
5,6,1,397
6,7,4,401
7,8,8,409
8,9,4,413
9,10,2,415
10,14,2,417
11,16,3,420
12,17,2,422
13,18,1,423
14,20,4,427
15,21,5,432
16,23,5,437
17,24,1,438
18,25,3,441
19,27,1,442
20,29,1,443
21,30,1,444
22,31,2,446
23,32,7,453
24,33,3,456
25,34,3,459
26,35,3,462
27,36,1,463
28,37,5,468
29,38,2,470
30,40,1,471
31,41,4,475
32,42,1,476
33,43,4,480
34,44,2,482
35,45,2,484
36,46,1,485
37,48,2,487
38,49,2,489
39,50,3,492
40,51,2,494
41,52,1,495
42,55,1,496
43,56,1,497
44,57,5,502
45,58,3,505
46,59,3,508
47,60,3,511
48,61,1,512
49,62,6,518
50,63,3,521
51,64,2,523
52,65,2,525
53,66,2,527
54,67,3,530
55,68,1,531
56,69,3,534
57,70,4,538
58,71,4,542
59,72,4,546
60,73,1,547
61,75,1,548
62,76,3,551
63,80,2,553
64,82,1,554
65,83,2,556
66,84,1,557
67,86,1,558
68,87,1,559
69,90,2,561
70,92,4,565
71,93,1,566
72,94,1,567
73,96,2,569
74,98,3,572
75,99,3,575
76,104,4,579
77,105,2,581
78,107,2,583
79,111,1,584
80,112,2,586
81,113,4,590
82,114,1,591
83,116,2,593
84,117,1,594
85,118,2,596
86,119,2,598
87,120,2,600
88,121,1,601
89,122,2,603
90,125,2,605
91,127,1,606
92,129,2,608
93,132,3,611
94,133,2,613
95,134,1,614
96,135,1,615
97,136,3,618
98,137,1,619
99,138,1,620
100,139,1,621
101,141,3,624
102,143,3,627
103,144,1,628
104,145,1,629
105,146,3,632
106,147,2,634
107,148,2,636
108,149,4,640
109,150,1,641
110,152,1,642
111,153,4,646
112,154,1,647
113,155,1,648
114,156,1,649
115,157,2,651
116,158,1,652
117,160,1,653
118,161,4,657
119,162,2,659
120,163,2,661
121,164,3,664
122,168,1,665
123,169,1,666
124,171,1,667
125,174,3,670
126,175,2,672
127,176,2,674
128,177,1,675
129,178,4,679
130,179,3,682
131,182,2,684
132,183,2,686
133,184,4,690
134,186,1,691
135,188,2,693
136,189,1,694
137,190,3,697
138,193,1,698
139,194,1,699
140,195,1,700
141,196,2,702
142,199,1,703
143,200,1,704
144,201,1,705
145,205,2,707
146,206,1,708
147,209,1,709
148,210,5,714
149,211,2,716
150,212,5,721
151,216,3,724
152,217,3,727
153,218,1,728
154,219,2,730
155,220,3,733
156,221,3,736
157,223,2,738
158,225,2,740
159,227,1,741
160,228,2,743
161,230,2,745
162,232,1,746
163,233,2,748
164,234,2,750
165,235,2,752
166,237,8,760
167,238,2,762
168,239,1,763
169,244,2,765
170,245,1,766
171,246,2,768
172,249,2,770
173,250,1,771
174,251,1,772
175,257,1,773
176,258,1,774
177,259,2,776
178,261,1,777
179,262,4,781
180,263,2,783
181,265,1,784
182,266,2,786
183,268,4,790
184,269,1,791
185,273,6,797
186,274,6,803
187,275,2,805
188,276,1,806
189,278,2,808
190,279,2,810
191,280,1,811
192,281,2,813
193,282,5,818
194,284,1,819
195,285,1,820
196,287,2,822
197,288,1,823
198,290,2,825
199,293,1,826
200,294,2,828
201,295,5,833
202,296,3,836
203,297,2,838
204,298,1,839
205,299,1,840
206,300,2,842
207,301,7,849
208,302,4,853
209,304,2,855
210,305,4,859
211,306,1,860
212,307,6,866
213,308,2,868
214,309,1,869
215,311,1,870
216,314,2,872
217,315,1,873
218,316,1,874
219,322,2,876
220,323,5,881
221,324,3,884
222,325,1,885
223,326,1,886
224,328,1,887
225,329,1,888
226,330,2,890
227,333,1,891
228,335,1,892
229,336,1,893
230,339,4,897
231,341,1,898
232,342,2,900
233,344,1,901
234,345,2,903
235,347,1,904
236,348,1,905
237,349,1,906
238,350,1,907
239,351,1,908
240,353,1,909
241,355,2,911
242,356,2,913
243,357,2,915
244,358,1,916
245,360,3,919
246,361,2,921
247,364,1,922
248,365,2,924
249,366,2,926
250,367,3,929
251,370,1,930
252,371,2,932
253,372,1,933
254,373,4,937
255,374,4,941
256,378,1,942
257,379,3,945
258,380,1,946
259,381,6,952
260,383,1,953
261,384,2,955
262,385,1,956
263,386,1,957
264,387,4,961
265,388,2,963
266,389,1,964
267,390,2,966
268,391,5,971
269,392,1,972
270,393,2,974
271,394,2,976
272,395,4,980
273,397,1,981
274,399,2,983
275,400,2,985
276,401,2,987
277,402,3,990
