,day,number,total
0,0,1,1
1,6,1,2
2,32,1,3
3,105,3,6
4,111,1,7
5,153,1,8
6,158,1,9
7,180,1,10
8,207,1,11
9,237,1,12
10,265,1,13
11,271,1,14
12,323,1,15
13,341,1,16
14,358,1,17
15,389,1,18
16,401,1,19
17,419,1,20
18,438,1,21
19,454,1,22
20,456,1,23
21,460,1,24
22,466,1,25
23,468,1,26
24,477,1,27
25,480,1,28
26,483,1,29
27,485,1,30
28,496,2,32
29,515,1,33
30,550,2,35
31,560,1,36
32,573,2,38
33,593,1,39
34,596,1,40
35,599,1,41
36,602,1,42
37,603,1,43
38,606,2,45
39,613,4,49
40,615,4,53
41,616,4,57
42,623,1,58
43,624,1,59
44,627,2,61
45,628,4,65
46,630,2,67
47,631,2,69
48,632,1,70
49,633,3,73
50,634,1,74
51,635,1,75
52,636,1,76
53,637,2,78
54,638,1,79
55,640,2,81
56,642,2,83
57,643,2,85
58,646,1,86
59,649,1,87
60,653,2,89
61,655,1,90
62,657,2,92
63,660,1,93
64,662,1,94
65,664,1,95
66,666,1,96
67,679,1,97
68,681,2,99
69,683,1,100
70,689,1,101
71,691,2,103
72,696,1,104
73,697,1,105
74,699,1,106
75,700,1,107
76,701,1,108
77,702,1,109
78,705,1,110
79,706,1,111
80,709,1,112
81,712,2,114
82,713,1,115
83,714,3,118
84,716,1,119
85,717,1,120
86,719,1,121
87,722,1,122
88,727,1,123
89,728,1,124
90,733,1,125
91,739,1,126
92,740,1,127
93,743,1,128
94,746,1,129
95,751,1,130
96,753,1,131
97,754,1,132
98,755,1,133
99,761,1,134
100,762,1,135
101,763,5,140
102,768,2,142
103,769,1,143
104,770,2,145
105,772,3,148
106,776,11,159
107,777,3,162
108,778,3,165
109,780,1,166
110,781,1,167
111,783,1,168
112,784,1,169
113,787,1,170
114,788,1,171
115,789,1,172
116,790,3,175
117,791,2,177
118,793,1,178
119,797,2,180
120,798,1,181
121,799,1,182
122,804,1,183
123,806,1,184
124,809,1,185
125,818,2,187
126,819,1,188
127,820,1,189
128,823,1,190
129,824,2,192
130,825,2,194
131,826,4,198
132,827,1,199
133,828,1,200
134,829,1,201
135,830,1,202
136,832,2,204
137,833,1,205
138,836,1,206
139,837,1,207
140,840,1,208
141,841,1,209
142,854,1,210
143,866,1,211
144,870,1,212
145,873,2,214
146,875,1,215
147,878,1,216
148,880,1,217
149,890,1,218
150,895,1,219
151,897,1,220
152,902,1,221
153,904,2,223
154,905,1,224
155,908,1,225
156,910,1,226
157,913,1,227
158,915,1,228
159,919,1,229
160,922,1,230
161,924,1,231
162,929,1,232
163,930,1,233
164,937,1,234
165,938,1,235
166,939,1,236
167,940,1,237
168,941,1,238
169,944,1,239
170,949,1,240
171,955,1,241
172,964,1,242
173,968,1,243
174,973,4,247
175,974,2,249
176,978,1,250
177,982,1,251
178,985,2,253
179,986,1,254
180,989,1,255
181,990,1,256
182,991,2,258
183,992,1,259
184,993,2,261
185,995,4,265
186,1002,2,267
187,1005,1,268
188,1008,1,269
189,1017,1,270
190,1021,1,271
191,1023,3,274
192,1024,1,275
193,1025,2,277
194,1026,1,278
195,1028,1,279
196,1031,1,280
197,1036,1,281
198,1037,1,282
199,1040,1,283
200,1041,1,284
201,1042,2,286
202,1045,2,288
203,1047,1,289
204,1048,1,290
205,1063,2,292
206,1064,1,293
207,1067,1,294
208,1069,1,295
209,1072,2,297
210,1073,1,298
211,1075,3,301
212,1076,4,305
213,1077,3,308
214,1081,2,310
215,1083,1,311
216,1084,3,314
217,1087,1,315
218,1090,3,318
219,1092,1,319
220,1094,1,320
221,1096,2,322
222,1098,2,324
223,1099,1,325
224,1101,1,326
225,1103,1,327
226,1104,1,328
227,1107,1,329
228,1110,2,331
229,1112,2,333
230,1113,2,335
231,1114,1,336
232,1116,1,337
233,1117,1,338
234,1118,1,339
235,1119,1,340
236,1120,2,342
237,1121,1,343
238,1125,2,345
239,1126,2,347
240,1128,1,348
241,1135,2,350
242,1139,2,352
243,1140,1,353
244,1141,1,354
245,1142,3,357
246,1145,1,358
247,1147,1,359
248,1154,3,362
249,1155,2,364
250,1156,1,365
251,1164,1,366
252,1165,1,367
253,1166,1,368
254,1168,1,369
255,1169,1,370
256,1170,2,372
257,1171,1,373
258,1173,1,374
259,1174,1,375
260,1176,1,376
261,1178,1,377
262,1181,2,379
263,1182,1,380
264,1185,3,383
265,1188,1,384
266,1189,2,386
267,1195,1,387
268,1201,1,388
269,1202,2,390
270,1203,3,393
271,1209,4,397
272,1210,2,399
273,1212,1,400
274,1218,1,401
275,1224,1,402
276,1230,1,403
277,1231,2,405
278,1236,1,406
279,1239,2,408
280,1243,2,410
281,1244,1,411
282,1245,1,412
283,1247,2,414
284,1248,1,415
285,1250,1,416
286,1251,1,417
287,1252,1,418
288,1255,1,419
289,1257,1,420
290,1258,1,421
291,1259,2,423
292,1260,1,424
293,1261,2,426
294,1262,1,427
295,1264,1,428
296,1265,5,433
297,1266,4,437
298,1267,2,439
299,1273,1,440
300,1274,2,442
301,1275,1,443
302,1279,2,445
303,1280,1,446
304,1281,4,450
305,1286,2,452
306,1287,2,454
307,1289,1,455
308,1293,2,457
309,1294,2,459
310,1299,2,461
311,1300,2,463
312,1301,2,465
313,1302,2,467
314,1304,1,468
315,1308,1,469
316,1310,1,470
317,1313,1,471
318,1314,1,472
319,1316,1,473
320,1317,1,474
321,1322,1,475
322,1323,1,476
323,1324,2,478
324,1325,1,479
325,1329,1,480
326,1330,1,481
327,1342,1,482
328,1344,3,485
329,1345,1,486
330,1349,2,488
331,1350,1,489
332,1351,2,491
333,1352,2,493
334,1356,2,495
335,1357,1,496
336,1362,1,497
337,1363,3,500
338,1365,2,502
339,1366,1,503
340,1368,2,505
341,1369,3,508
342,1370,1,509
343,1371,5,514
344,1376,2,516
345,1377,1,517
346,1378,2,519
347,1379,1,520
348,1383,1,521
349,1384,2,523
350,1386,3,526
351,1390,1,527
352,1391,1,528
353,1392,1,529
354,1393,1,530
355,1394,4,534
356,1397,2,536
357,1398,2,538
358,1399,2,540
359,1400,1,541
360,1401,1,542
361,1407,1,543
362,1408,1,544
363,1412,1,545
364,1413,2,547
365,1414,1,548
366,1415,1,549
367,1418,2,551
368,1419,2,553
369,1422,2,555
370,1425,1,556
371,1426,1,557
372,1427,2,559
373,1428,1,560
374,1429,2,562
375,1434,1,563
376,1436,2,565
377,1439,3,568
378,1440,2,570
379,1441,1,571
380,1442,2,573
381,1443,2,575
382,1445,1,576
383,1446,1,577
384,1449,1,578
385,1451,1,579
386,1455,2,581
387,1456,1,582
388,1458,2,584
389,1459,2,586
390,1461,2,588
391,1462,1,589
392,1463,5,594
393,1464,3,597
394,1465,3,600
395,1467,1,601
396,1468,3,604
397,1470,2,606
398,1471,1,607
399,1472,2,609
400,1473,6,615
401,1474,3,618
402,1475,1,619
403,1476,4,623
404,1479,1,624
405,1481,1,625
406,1482,5,630
407,1483,2,632
408,1484,1,633
409,1485,3,636
410,1486,1,637
411,1487,1,638
412,1488,5,643
413,1489,4,647
414,1490,2,649
415,1491,4,653
416,1492,4,657
417,1493,2,659
418,1494,3,662
419,1495,4,666
420,1496,4,670
421,1497,3,673
422,1499,2,675
423,1500,1,676
424,1501,2,678
425,1503,1,679
426,1504,1,680
427,1505,4,684
428,1506,2,686
429,1507,2,688
430,1509,3,691
431,1511,2,693
432,1512,1,694
433,1513,3,697
434,1515,1,698
435,1516,2,700
436,1517,3,703
437,1518,1,704
438,1520,3,707
439,1523,3,710
440,1524,1,711
441,1525,2,713
442,1526,3,716
443,1527,1,717
444,1528,1,718
445,1530,4,722
446,1531,2,724
447,1532,2,726
448,1533,1,727
449,1534,3,730
450,1535,1,731
451,1536,2,733
452,1538,5,738
453,1539,2,740
454,1544,1,741
455,1545,1,742
456,1547,2,744
457,1548,2,746
458,1551,1,747
459,1552,2,749
460,1554,1,750
461,1555,1,751
462,1556,1,752
463,1557,1,753
464,1558,2,755
465,1559,2,757
466,1560,2,759
467,1561,2,761
468,1562,1,762
469,1563,2,764
470,1565,3,767
471,1567,1,768
472,1571,1,769
473,1573,3,772
474,1574,2,774
475,1579,2,776
476,1580,6,782
477,1581,2,784
478,1582,1,785
479,1586,2,787
480,1587,1,788
481,1588,1,789
482,1590,3,792
483,1591,1,793
484,1592,3,796
485,1593,1,797
486,1594,1,798
487,1595,2,800
488,1597,1,801
489,1598,3,804
490,1599,4,808
491,1600,2,810
492,1603,1,811
493,1606,1,812
494,1607,1,813
495,1608,2,815
496,1612,2,817
497,1615,2,819
498,1616,2,821
499,1619,1,822
500,1621,2,824
501,1622,2,826
502,1623,1,827
503,1624,3,830
504,1625,2,832
505,1627,1,833
506,1628,2,835
507,1629,3,838
508,1631,1,839
509,1632,2,841
510,1635,1,842
511,1637,1,843
512,1638,1,844
513,1639,3,847
514,1640,1,848
515,1643,1,849
516,1644,4,853
517,1645,2,855
518,1646,2,857
519,1647,2,859
520,1648,1,860
521,1651,2,862
522,1652,1,863
523,1653,1,864
524,1658,3,867
525,1659,2,869
526,1660,1,870
527,1661,1,871
528,1664,1,872
529,1665,2,874
530,1666,2,876
531,1670,2,878
532,1671,1,879
533,1674,2,881
534,1676,1,882
535,1679,1,883
536,1680,3,886
537,1684,1,887
538,1690,3,890
539,1691,2,892
540,1692,2,894
541,1693,4,898
542,1694,1,899
543,1697,1,900
544,1698,1,901
545,1699,2,903
546,1700,2,905
547,1701,2,907
548,1702,2,909
549,1705,1,910
550,1706,6,916
551,1708,1,917
552,1709,4,921
553,1711,1,922
554,1712,4,926
555,1713,3,929
556,1714,1,930
557,1715,4,934
558,1718,1,935
559,1719,2,937
560,1720,4,941
561,1721,1,942
562,1722,2,944
563,1723,1,945
564,1724,1,946
565,1726,2,948
566,1727,3,951
567,1728,3,954
568,1729,2,956
569,1730,1,957
570,1733,3,960
571,1735,1,961
572,1736,1,962
573,1740,2,964
574,1741,1,965
575,1742,1,966
576,1744,1,967
577,1746,1,968
578,1747,2,970
579,1748,1,971
580,1749,1,972
581,1750,2,974
582,1752,2,976
583,1753,2,978
584,1754,3,981
585,1755,3,984
586,1756,2,986
587,1757,2,988
588,1758,2,990
589,1760,1,991
590,1761,2,993
591,1762,4,997
592,1763,3,1000
593,1764,4,1004
594,1765,2,1006
595,1768,1,1007
596,1769,2,1009
597,1770,1,1010
598,1771,4,1014
599,1777,1,1015
600,1778,1,1016
601,1779,4,1020
602,1782,1,1021
603,1783,1,1022
604,1784,3,1025
605,1785,1,1026
606,1786,2,1028
607,1790,5,1033
608,1791,3,1036
609,1792,1,1037
610,1794,1,1038
611,1795,2,1040
612,1796,2,1042
613,1798,2,1044
614,1799,1,1045
615,1801,1,1046
616,1803,5,1051
617,1804,3,1054
618,1805,3,1057
619,1806,1,1058
620,1808,2,1060
621,1809,1,1061
622,1810,2,1063
623,1811,1,1064
624,1812,1,1065
625,1817,1,1066
626,1818,3,1069
627,1820,3,1072
628,1821,1,1073
629,1824,1,1074
630,1826,3,1077
631,1827,1,1078
632,1830,1,1079
633,1831,2,1081
634,1832,3,1084
635,1835,1,1085
636,1838,1,1086
637,1839,1,1087
638,1840,3,1090
639,1842,2,1092
640,1845,1,1093
641,1847,2,1095
642,1848,1,1096
643,1849,4,1100
644,1850,2,1102
645,1851,2,1104
646,1852,2,1106
647,1853,2,1108
648,1854,2,1110
649,1855,1,1111
650,1857,2,1113
651,1859,5,1118
652,1861,3,1121
653,1862,1,1122
654,1863,2,1124
655,1866,2,1126
656,1867,2,1128
