,day,number,total
0,0,266,266
1,4,2,268
2,21,1,269
3,35,1,270
4,36,1,271
5,39,4,275
6,48,1,276
7,63,1,277
8,68,1,278
9,84,1,279
10,88,1,280
11,89,8,288
12,90,1,289
13,91,2,291
14,95,2,293
15,96,1,294
16,97,2,296
17,101,2,298
18,102,1,299
19,103,2,301
20,112,1,302
21,124,2,304
22,130,1,305
23,133,2,307
24,144,1,308
25,145,2,310
26,146,2,312
27,147,1,313
28,148,1,314
29,153,1,315
30,158,1,316
31,159,1,317
32,166,1,318
33,169,1,319
34,172,1,320
35,173,1,321
36,179,3,324
37,192,1,325
38,194,2,327
39,195,1,328
40,199,1,329
41,202,1,330
42,208,7,337
43,209,1,338
44,215,1,339
45,216,2,341
46,220,1,342
47,222,1,343
48,224,1,344
49,237,2,346
50,238,3,349
51,239,4,353
52,242,3,356
53,244,1,357
54,249,1,358
55,272,1,359
56,285,1,360
57,293,1,361
58,315,1,362
59,318,1,363
60,320,1,364
61,326,1,365
62,328,1,366
63,335,1,367
64,354,1,368
65,362,2,370
66,367,1,371
67,369,1,372
68,372,1,373
69,374,1,374
70,378,1,375
71,409,1,376
72,412,1,377
73,415,2,379
74,423,1,380
75,425,1,381
76,427,1,382
77,434,2,384
78,448,1,385
79,452,1,386
80,453,1,387
81,454,1,388
82,463,1,389
83,466,1,390
84,467,1,391
85,468,1,392
86,480,1,393
87,484,1,394
88,487,1,395
89,489,1,396
90,490,1,397
91,494,1,398
92,504,2,400
93,505,2,402
94,515,2,404
95,530,1,405
96,531,1,406
97,536,1,407
98,539,1,408
99,549,1,409
100,550,2,411
101,559,1,412
102,571,1,413
103,580,2,415
104,600,3,418
105,602,3,421
106,609,1,422
107,612,2,424
108,613,2,426
109,621,2,428
110,622,3,431
111,623,2,433
112,624,4,437
113,626,2,439
114,633,1,440
115,634,1,441
116,635,1,442
117,637,1,443
118,638,1,444
119,640,1,445
120,642,1,446
121,655,1,447
122,656,2,449
123,660,1,450
124,661,1,451
125,668,1,452
126,670,3,455
127,675,1,456
128,677,2,458
129,678,1,459
130,685,2,461
131,691,1,462
132,692,1,463
133,694,1,464
134,703,1,465
135,707,1,466
136,710,1,467
137,719,2,469
138,724,1,470
139,731,1,471
140,732,2,473
141,737,1,474
142,738,1,475
143,741,1,476
144,746,2,478
145,747,1,479
146,748,1,480
147,753,1,481
148,754,1,482
149,755,2,484
150,756,1,485
151,758,1,486
152,764,4,490
153,765,1,491
154,768,2,493
155,773,1,494
156,774,1,495
157,776,1,496
158,785,1,497
159,788,1,498
160,794,1,499
161,795,1,500
162,797,2,502
163,798,2,504
164,799,1,505
165,802,1,506
166,803,1,507
167,804,1,508
168,805,1,509
169,806,1,510
170,807,1,511
171,809,3,514
172,812,1,515
173,813,1,516
174,814,1,517
175,816,1,518
176,817,1,519
177,818,1,520
178,826,2,522
179,827,1,523
180,830,1,524
181,831,1,525
182,833,1,526
183,837,1,527
184,838,2,529
185,839,2,531
186,840,4,535
187,841,10,545
188,845,1,546
189,847,1,547
190,849,3,550
191,850,1,551
192,853,1,552
193,854,6,558
194,857,3,561
195,858,1,562
196,859,1,563
197,860,3,566
198,861,1,567
199,862,1,568
200,864,4,572
201,865,3,575
202,868,5,580
203,869,1,581
204,870,1,582
205,873,4,586
206,874,1,587
207,876,1,588
208,880,2,590
209,881,2,592
210,885,2,594
211,889,1,595
212,892,1,596
213,893,3,599
214,894,1,600
215,895,1,601
216,896,1,602
217,902,1,603
218,906,2,605
219,907,1,606
220,908,1,607
221,909,3,610
222,910,1,611
223,911,1,612
224,912,1,613
225,913,1,614
226,914,2,616
227,915,1,617
228,916,3,620
229,917,1,621
230,918,1,622
231,919,1,623
232,922,2,625
233,926,1,626
234,927,1,627
235,929,1,628
236,934,1,629
237,936,1,630
238,937,1,631
239,938,1,632
240,939,2,634
241,941,3,637
242,942,2,639
243,945,1,640
244,950,1,641
245,957,1,642
246,958,1,643
247,959,1,644
248,963,2,646
249,966,2,648
250,967,1,649
251,971,1,650
252,972,4,654
253,973,5,659
254,974,2,661
255,975,4,665
256,977,1,666
257,978,1,667
258,979,2,669
259,981,1,670
260,983,1,671
261,985,2,673
262,986,2,675
263,987,6,681
264,990,2,683
265,991,2,685
266,993,2,687
267,995,1,688
268,997,1,689
269,999,2,691
270,1007,1,692
271,1008,5,697
272,1009,4,701
273,1010,1,702
274,1012,1,703
275,1013,1,704
276,1014,1,705
277,1019,1,706
278,1020,1,707
279,1025,2,709
280,1026,6,715
281,1027,7,722
282,1028,1,723
283,1029,2,725
284,1030,2,727
285,1032,4,731
286,1033,1,732
287,1034,1,733
288,1036,2,735
289,1038,1,736
290,1039,1,737
291,1040,1,738
292,1041,2,740
293,1042,2,742
294,1043,2,744
295,1044,1,745
296,1047,2,747
297,1048,2,749
298,1049,1,750
299,1052,1,751
300,1053,1,752
301,1056,1,753
302,1062,1,754
303,1063,1,755
304,1064,1,756
305,1067,1,757
306,1068,1,758
307,1069,3,761
308,1072,2,763
309,1073,2,765
310,1074,2,767
311,1075,1,768
312,1076,3,771
313,1077,2,773
314,1078,2,775
315,1079,1,776
316,1081,2,778
317,1083,1,779
318,1084,4,783
319,1085,1,784
320,1086,1,785
321,1088,4,789
322,1089,2,791
323,1090,2,793
324,1091,2,795
325,1092,1,796
326,1093,1,797
327,1095,2,799
328,1096,1,800
329,1097,2,802
330,1098,4,806
331,1101,3,809
332,1102,4,813
333,1103,2,815
334,1104,2,817
335,1105,5,822
336,1110,2,824
337,1111,1,825
338,1113,1,826
339,1115,1,827
340,1116,3,830
341,1117,1,831
342,1119,1,832
343,1120,1,833
344,1123,2,835
345,1124,2,837
346,1125,1,838
347,1126,1,839
348,1127,3,842
349,1128,1,843
350,1129,2,845
351,1130,2,847
352,1131,2,849
353,1132,4,853
354,1133,3,856
355,1134,1,857
356,1138,3,860
357,1139,2,862
358,1140,3,865
359,1141,1,866
360,1144,1,867
361,1145,5,872
362,1146,2,874
363,1147,3,877
364,1148,4,881
365,1150,1,882
366,1152,1,883
367,1153,1,884
368,1154,1,885
369,1157,1,886
370,1160,1,887
371,1162,2,889
372,1165,3,892
373,1166,2,894
374,1167,1,895
375,1168,2,897
376,1169,1,898
377,1172,1,899
378,1173,2,901
379,1174,1,902
380,1175,2,904
381,1176,3,907
382,1179,2,909
383,1180,1,910
384,1181,1,911
385,1183,2,913
386,1185,2,915
387,1186,1,916
388,1187,1,917
389,1189,2,919
390,1190,1,920
391,1192,1,921
392,1193,2,923
393,1195,3,926
394,1196,1,927
395,1197,2,929
396,1200,4,933
397,1201,2,935
398,1203,1,936
399,1204,2,938
400,1205,1,939
401,1206,1,940
402,1207,4,944
403,1209,3,947
404,1210,3,950
405,1214,3,953
406,1215,2,955
407,1216,1,956
408,1221,1,957
409,1222,1,958
410,1223,1,959
411,1224,2,961
412,1228,2,963
413,1231,1,964
414,1232,1,965
415,1233,2,967
416,1234,1,968
417,1235,1,969
418,1236,2,971
419,1237,1,972
420,1239,1,973
421,1240,2,975
422,1241,1,976
423,1242,1,977
424,1243,1,978
425,1244,2,980
426,1245,1,981
427,1246,1,982
428,1249,1,983
429,1250,1,984
430,1252,2,986
431,1253,1,987
432,1254,1,988
433,1256,1,989
434,1259,4,993
435,1260,1,994
436,1263,1,995
437,1265,4,999
438,1266,5,1004
439,1267,2,1006
440,1268,1,1007
441,1270,2,1009
442,1271,1,1010
443,1272,1,1011
444,1273,3,1014
445,1274,1,1015
446,1277,2,1017
447,1279,1,1018
448,1280,2,1020
449,1281,1,1021
450,1285,2,1023
451,1286,1,1024
452,1287,2,1026
453,1288,2,1028
454,1290,1,1029
455,1291,1,1030
456,1292,1,1031
457,1293,2,1033
458,1299,1,1034
459,1300,1,1035
460,1302,2,1037
461,1303,1,1038
462,1305,1,1039
463,1306,1,1040
464,1307,1,1041
465,1308,1,1042
466,1309,1,1043
467,1310,1,1044
468,1312,1,1045
469,1313,2,1047
470,1314,3,1050
471,1315,3,1053
472,1320,2,1055
473,1321,1,1056
474,1322,2,1058
475,1329,1,1059
476,1334,1,1060
477,1336,1,1061
478,1337,2,1063
479,1338,1,1064
480,1340,1,1065
481,1341,1,1066
482,1349,1,1067
