,day,number,total
0,0,1873,1873
1,1,1,1874
2,3,3,1877
3,4,1,1878
4,5,4,1882
5,6,2,1884
6,7,1,1885
7,11,1,1886
8,12,1,1887
9,14,3,1890
10,15,1,1891
11,17,1,1892
12,20,2,1894
13,21,1,1895
14,25,1,1896
15,27,1,1897
16,28,1,1898
17,32,2,1900
18,33,2,1902
19,34,1,1903
20,35,2,1905
21,38,5,1910
22,39,1,1911
23,40,1,1912
24,41,3,1915
25,42,2,1917
26,44,1,1918
27,45,1,1919
28,46,2,1921
29,47,3,1924
30,48,2,1926
31,52,1,1927
32,53,4,1931
33,59,2,1933
34,60,3,1936
35,66,1,1937
36,67,1,1938
37,70,1,1939
38,71,1,1940
39,72,1,1941
40,73,3,1944
41,74,2,1946
42,75,1,1947
43,76,1,1948
44,77,2,1950
45,82,1,1951
46,83,1,1952
47,89,1,1953
48,90,5,1958
49,91,1,1959
50,94,2,1961
51,96,1,1962
52,98,4,1966
53,101,2,1968
54,103,2,1970
55,104,2,1972
56,105,2,1974
57,110,2,1976
58,111,1,1977
59,112,1,1978
60,113,2,1980
61,115,1,1981
62,119,1,1982
63,122,1,1983
64,123,1,1984
65,124,1,1985
66,125,2,1987
67,126,2,1989
68,127,1,1990
69,129,1,1991
70,130,4,1995
71,131,1,1996
72,132,3,1999
73,133,1,2000
74,136,1,2001
75,137,2,2003
76,139,5,2008
77,140,1,2009
78,141,1,2010
79,142,1,2011
80,143,1,2012
81,145,2,2014
82,146,1,2015
83,147,1,2016
84,149,1,2017
85,151,3,2020
86,152,1,2021
87,154,1,2022
88,155,1,2023
89,157,1,2024
90,158,1,2025
91,160,1,2026
92,161,2,2028
93,162,1,2029
94,163,1,2030
95,165,1,2031
96,166,2,2033
97,167,1,2034
98,168,1,2035
99,170,1,2036
100,171,2,2038
101,174,1,2039
102,175,1,2040
103,178,1,2041
104,181,1,2042
105,182,2,2044
106,187,3,2047
107,188,1,2048
108,192,2,2050
109,194,2,2052
110,195,1,2053
111,199,2,2055
112,202,4,2059
113,205,1,2060
114,206,1,2061
115,209,1,2062
116,210,3,2065
117,213,1,2066
118,214,2,2068
119,215,1,2069
120,216,1,2070
121,219,1,2071
122,221,2,2073
123,222,1,2074
124,224,1,2075
125,225,3,2078
126,228,1,2079
127,229,4,2083
128,230,2,2085
129,231,3,2088
130,232,1,2089
131,234,1,2090
132,235,1,2091
133,236,2,2093
134,238,1,2094
135,239,1,2095
136,240,1,2096
137,242,1,2097
138,244,1,2098
139,249,1,2099
140,250,3,2102
141,252,1,2103
142,255,2,2105
143,256,1,2106
144,257,3,2109
145,259,1,2110
146,261,2,2112
147,263,1,2113
148,264,1,2114
149,266,2,2116
150,269,1,2117
151,271,2,2119
152,272,1,2120
153,273,1,2121
154,274,1,2122
155,276,2,2124
156,277,1,2125
157,280,1,2126
158,284,4,2130
159,285,1,2131
160,286,2,2133
161,290,1,2134
162,291,1,2135
163,292,2,2137
164,294,1,2138
165,295,1,2139
166,296,1,2140
167,298,1,2141
168,299,1,2142
169,300,1,2143
170,301,2,2145
171,305,1,2146
172,306,1,2147
173,307,1,2148
174,308,1,2149
175,310,1,2150
176,313,1,2151
177,314,2,2153
178,315,1,2154
179,319,2,2156
180,320,2,2158
181,322,3,2161
182,323,3,2164
183,324,2,2166
184,325,2,2168
185,326,2,2170
186,328,1,2171
187,333,4,2175
188,334,1,2176
189,336,1,2177
190,337,1,2178
191,339,1,2179
192,342,2,2181
193,344,3,2184
194,346,2,2186
195,348,2,2188
196,349,5,2193
197,350,1,2194
198,353,1,2195
199,355,4,2199
200,356,2,2201
201,357,3,2204
202,359,1,2205
203,360,2,2207
204,361,3,2210
205,362,1,2211
206,365,1,2212
207,367,4,2216
208,368,1,2217
209,369,1,2218
210,370,3,2221
211,371,1,2222
212,374,1,2223
213,375,1,2224
214,377,2,2226
215,381,3,2229
216,383,2,2231
217,385,3,2234
218,387,1,2235
219,389,2,2237
220,392,1,2238
221,395,1,2239
222,397,3,2242
223,399,2,2244
224,401,1,2245
225,402,2,2247
226,404,1,2248
227,405,1,2249
228,406,1,2250
229,409,1,2251
230,410,1,2252
231,411,1,2253
232,413,1,2254
233,416,3,2257
234,417,2,2259
235,419,1,2260
236,422,1,2261
237,423,1,2262
238,424,1,2263
239,427,1,2264
240,428,1,2265
241,431,4,2269
242,432,1,2270
243,433,2,2272
244,438,2,2274
245,439,2,2276
246,440,1,2277
247,441,1,2278
248,442,1,2279
249,443,1,2280
250,445,1,2281
251,447,1,2282
252,448,2,2284
253,449,1,2285
254,452,4,2289
255,453,1,2290
256,454,1,2291
257,455,1,2292
258,456,3,2295
259,458,1,2296
260,459,2,2298
261,462,1,2299
262,464,4,2303
263,465,1,2304
264,467,2,2306
265,468,1,2307
266,472,1,2308
267,474,3,2311
268,475,2,2313
269,476,1,2314
270,478,1,2315
271,481,1,2316
272,482,2,2318
273,485,1,2319
274,486,2,2321
275,487,1,2322
276,488,3,2325
277,489,1,2326
278,490,1,2327
279,491,1,2328
280,493,3,2331
281,494,1,2332
