,day,number,total
0,0,1,1
1,3,3,4
2,4,1,5
3,5,1,6
4,10,5,11
5,14,2,13
6,16,1,14
7,18,1,15
8,21,4,19
9,22,2,21
10,23,1,22
11,28,1,23
12,29,1,24
13,36,1,25
14,37,1,26
15,42,2,28
16,43,1,29
17,44,1,30
18,49,1,31
19,56,1,32
20,60,1,33
21,67,10,43
22,69,1,44
23,70,2,46
24,677,1,47
25,1069,1,48
26,1074,1,49
27,1075,1,50
28,1076,1,51
29,1077,1,52
30,1078,1,53
31,1079,1,54
32,1081,1,55
33,1134,1,56
34,1138,1,57
35,1173,2,59
36,1191,1,60
37,1222,1,61
38,1260,1,62
39,1266,1,63
40,1270,1,64
41,1278,1,65
42,1290,3,68
43,1309,1,69
44,1354,4,73
45,1355,1,74
46,1356,1,75
47,1358,1,76
48,1368,1,77
49,1372,2,79
50,1374,1,80
51,1375,4,84
52,1380,1,85
53,1387,1,86
54,1395,1,87
55,1396,1,88
56,1399,1,89
57,1400,1,90
58,1402,1,91
59,1410,1,92
60,1415,1,93
61,1430,1,94
62,1453,1,95
63,1458,1,96
64,1473,1,97
65,1496,2,99
66,1497,1,100
67,1505,1,101
68,1516,1,102
69,1529,1,103
70,1543,2,105
71,1544,1,106
72,1545,1,107
73,1546,2,109
74,1548,3,112
75,1549,4,116
76,1550,4,120
77,1551,2,122
78,1553,1,123
79,1554,1,124
80,1556,1,125
81,1557,1,126
82,1561,1,127
83,1563,1,128
84,1565,1,129
85,1570,1,130
86,1572,3,133
87,1573,2,135
88,1575,1,136
89,1576,2,138
90,1577,1,139
91,1578,1,140
92,1579,2,142
93,1582,1,143
94,1588,2,145
95,1591,1,146
96,1597,1,147
97,1599,1,148
98,1602,1,149
99,1605,1,150
100,1614,1,151
101,1617,1,152
102,1618,2,154
103,1619,1,155
104,1640,2,157
105,1642,1,158
106,1647,1,159
107,1654,1,160
108,1656,1,161
109,1658,1,162
110,1662,2,164
111,1664,1,165
112,1669,1,166
113,1676,1,167
114,1677,3,170
115,1679,1,171
116,1687,2,173
117,1690,1,174
118,1691,1,175
119,1692,2,177
120,1695,1,178
121,1696,2,180
122,1698,1,181
123,1704,1,182
124,1705,1,183
125,1709,1,184
126,1712,1,185
127,1731,1,186
128,1737,1,187
129,1739,1,188
130,1751,1,189
131,1757,1,190
132,1758,1,191
133,1761,1,192
134,1764,1,193
135,1778,1,194
136,1779,2,196
137,1782,2,198
138,1788,1,199
139,1797,1,200
140,1798,1,201
141,1800,1,202
142,1801,3,205
143,1803,2,207
144,1805,1,208
145,1806,1,209
146,1807,2,211
147,1809,1,212
148,1816,2,214
149,1817,2,216
150,1821,1,217
151,1824,2,219
152,1827,1,220
153,1837,1,221
154,1842,2,223
155,1848,1,224
156,1852,1,225
157,1858,1,226
158,1859,1,227
159,1865,1,228
160,1872,1,229
161,1874,2,231
162,1876,1,232
163,1878,1,233
164,1880,1,234
165,1883,1,235
166,1884,1,236
167,1887,1,237
168,1889,1,238
169,1897,2,240
170,1899,1,241
171,1912,1,242
172,1913,1,243
173,1918,1,244
174,1919,1,245
175,1921,1,246
176,1922,1,247
177,1926,1,248
178,1927,1,249
179,1928,1,250
180,1929,1,251
181,1934,2,253
182,1935,2,255
183,1936,1,256
184,1940,2,258
185,1941,1,259
186,1942,1,260
187,1943,1,261
188,1944,1,262
189,1945,1,263
190,1946,1,264
191,1947,1,265
192,1949,1,266
193,1950,1,267
194,1951,1,268
195,1954,1,269
196,1958,2,271
197,1962,1,272
198,1963,2,274
199,1964,1,275
200,1974,1,276
201,1975,1,277
