,day,number,total
0,0,1,1
1,1,2,3
2,2,8,11
3,5,1,12
4,6,1,13
5,7,1,14
6,8,4,18
7,9,2,20
8,14,1,21
9,16,5,26
10,22,5,31
11,23,3,34
12,27,1,35
13,28,6,41
14,29,3,44
15,44,1,45
16,53,2,47
17,55,1,48
18,56,1,49
19,58,1,50
20,65,1,51
21,77,1,52
22,78,2,54
23,84,2,56
24,92,1,57
25,97,1,58
26,98,2,60
27,100,1,61
28,103,1,62
29,104,1,63
30,106,2,65
31,107,1,66
32,111,1,67
33,113,1,68
34,114,1,69
35,120,1,70
36,121,2,72
37,125,1,73
38,126,1,74
39,129,2,76
40,131,5,81
41,132,2,83
42,133,1,84
43,135,2,86
44,140,1,87
45,142,2,89
46,146,1,90
47,148,1,91
48,153,3,94
49,154,1,95
50,155,3,98
51,156,1,99
52,160,1,100
53,168,1,101
54,169,3,104
55,170,1,105
56,171,2,107
57,172,1,108
58,177,1,109
59,180,1,110
60,181,1,111
61,183,1,112
62,202,1,113
63,203,1,114
64,209,4,118
65,211,2,120
66,212,5,125
67,216,1,126
68,219,3,129
69,224,1,130
70,225,2,132
71,226,4,136
72,229,2,138
73,230,3,141
74,232,4,145
75,233,3,148
76,238,3,151
77,239,3,154
78,240,2,156
79,241,2,158
80,243,9,167
81,244,1,168
82,246,2,170
83,247,4,174
84,250,1,175
85,252,4,179
86,257,1,180
87,279,3,183
88,281,1,184
89,286,1,185
90,287,2,187
91,288,1,188
92,289,1,189
93,293,3,192
94,294,1,193
95,295,3,196
96,296,1,197
97,299,1,198
98,300,2,200
99,301,2,202
100,303,2,204
101,306,2,206
102,315,1,207
103,320,1,208
104,322,1,209
105,323,1,210
106,324,2,212
107,329,1,213
108,331,1,214
109,335,1,215
110,338,6,221
111,341,2,223
112,342,1,224
113,343,1,225
114,344,1,226
115,345,1,227
116,347,1,228
117,348,1,229
118,349,3,232
119,350,1,233
120,353,1,234
121,358,3,237
122,359,1,238
123,361,1,239
124,362,3,242
125,363,1,243
126,364,2,245
127,365,1,246
128,367,2,248
129,369,9,257
130,370,3,260
131,371,4,264
132,373,3,267
133,375,1,268
134,376,7,275
135,377,6,281
136,378,5,286
137,379,2,288
138,380,7,295
139,383,6,301
140,384,1,302
141,385,4,306
142,386,2,308
143,391,2,310
144,392,1,311
145,393,3,314
146,394,1,315
147,397,3,318
148,404,2,320
149,407,3,323
150,411,1,324
151,413,1,325
152,414,2,327
153,415,2,329
154,419,4,333
155,420,2,335
156,421,1,336
157,422,2,338
158,425,5,343
159,426,2,345
160,427,2,347
161,428,3,350
162,429,1,351
163,430,1,352
164,436,1,353
165,439,1,354
166,441,2,356
167,442,1,357
168,443,1,358
169,444,1,359
170,448,8,367
171,449,3,370
172,451,2,372
173,452,2,374
174,454,1,375
175,455,3,378
176,456,2,380
177,457,4,384
178,458,1,385
179,461,1,386
180,462,1,387
181,463,1,388
182,464,4,392
183,466,1,393
184,467,5,398
185,468,4,402
186,469,3,405
187,471,3,408
188,475,1,409
189,476,6,415
190,477,2,417
191,483,2,419
192,488,2,421
193,489,2,423
194,490,1,424
195,491,2,426
196,492,4,430
197,495,3,433
198,496,2,435
199,497,3,438
200,498,2,440
201,499,2,442
202,500,1,443
203,502,1,444
204,503,3,447
205,504,2,449
206,505,3,452
207,506,2,454
208,509,1,455
209,510,4,459
210,511,1,460
211,512,1,461
212,513,2,463
213,515,1,464
214,516,1,465
215,518,1,466
216,520,2,468
217,525,1,469
218,527,3,472
219,530,109,581
220,531,1,582
221,532,2,584
222,533,1,585
223,534,2,587
224,537,2,589
225,538,3,592
226,539,2,594
227,540,4,598
228,541,3,601
229,548,3,604
230,552,6,610
231,553,1,611
232,554,1,612
233,555,5,617
234,558,1,618
235,559,4,622
236,560,5,627
237,561,3,630
238,562,1,631
239,563,1,632
240,565,1,633
241,566,3,636
242,567,2,638
243,568,2,640
244,569,1,641
245,572,2,643
246,573,1,644
247,575,3,647
248,576,6,653
249,582,2,655
250,584,1,656
251,587,1,657
252,588,2,659
253,589,1,660
254,590,2,662
255,594,1,663
256,596,4,667
257,597,2,669
258,600,1,670
259,601,4,674
260,602,6,680
261,603,4,684
262,604,2,686
263,606,1,687
264,607,6,693
265,608,4,697
266,609,8,705
267,610,6,711
268,613,1,712
