,day,number,total
0,0,1,1
1,9,1,2
2,17,1,3
3,21,1,4
4,23,1,5
5,30,1,6
6,31,1,7
7,38,1,8
8,44,1,9
9,48,3,12
10,49,3,15
11,50,1,16
12,54,2,18
13,55,1,19
14,58,3,22
15,64,2,24
16,66,1,25
17,67,1,26
18,69,1,27
19,70,1,28
20,73,1,29
21,76,1,30
22,78,7,37
23,79,1,38
24,80,3,41
25,83,1,42
26,84,4,46
27,86,2,48
28,87,1,49
29,95,1,50
30,102,1,51
31,106,1,52
32,107,4,56
33,108,1,57
34,111,1,58
35,113,1,59
36,114,2,61
37,118,1,62
38,119,1,63
39,121,1,64
40,122,2,66
41,125,4,70
42,126,1,71
43,127,1,72
44,128,2,74
45,129,2,76
46,134,1,77
47,135,2,79
48,139,4,83
49,140,2,85
50,141,5,90
51,142,1,91
52,143,3,94
53,146,3,97
54,147,2,99
55,148,3,102
56,149,2,104
57,154,3,107
58,155,3,110
59,157,3,113
60,160,1,114
61,161,3,117
62,162,1,118
63,163,5,123
64,164,1,124
65,165,1,125
66,169,2,127
67,170,1,128
68,171,2,130
69,174,2,132
70,175,3,135
71,176,4,139
72,177,4,143
73,178,1,144
74,183,3,147
75,184,1,148
76,185,3,151
77,188,2,153
78,189,3,156
79,191,1,157
80,192,3,160
81,195,2,162
82,196,3,165
83,197,4,169
84,198,1,170
85,199,4,174
86,201,1,175
87,202,2,177
88,203,1,178
89,204,5,183
90,206,1,184
91,209,3,187
92,210,2,189
93,211,3,192
94,213,5,197
95,216,2,199
96,217,3,202
97,218,1,203
98,219,18,221
99,220,1,222
100,224,1,223
101,225,1,224
102,226,4,228
103,227,1,229
104,230,2,231
105,231,3,234
106,232,3,237
107,233,1,238
108,234,8,246
109,235,1,247
110,239,2,249
111,240,3,252
112,241,4,256
113,244,3,259
114,247,1,260
115,266,5,265
116,267,4,269
117,269,1,270
118,272,2,272
119,273,4,276
120,274,1,277
121,275,2,279
122,276,3,282
123,279,2,284
124,280,1,285
125,281,1,286
126,282,6,292
127,286,1,293
128,287,1,294
129,288,5,299
130,289,6,305
131,290,7,312
132,291,1,313
133,292,1,314
134,293,4,318
135,294,1,319
136,295,7,326
137,296,6,332
138,297,5,337
139,298,2,339
140,299,1,340
141,300,5,345
142,301,1,346
143,302,1,347
144,303,1,348
145,304,2,350
146,305,2,352
147,308,1,353
148,310,1,354
149,311,6,360
150,314,2,362
151,315,2,364
152,316,1,365
153,317,2,367
154,318,6,373
155,319,1,374
156,321,3,377
157,322,5,382
158,323,6,388
159,324,5,393
160,327,4,397
161,329,3,400
162,330,6,406
163,331,4,410
164,332,6,416
165,335,2,418
166,336,2,420
167,337,6,426
168,338,3,429
169,339,3,432
170,344,1,433
171,345,1,434
172,346,1,435
173,349,6,441
174,350,1,442
175,351,1,443
176,352,1,444
177,353,1,445
178,356,1,446
179,357,3,449
180,358,2,451
181,359,1,452
182,363,4,456
183,364,3,459
184,365,2,461
185,366,5,466
186,367,5,471
187,369,1,472
188,370,9,481
189,371,3,484
190,372,8,492
191,373,3,495
192,374,7,502
193,375,6,508
194,377,1,509
195,378,1,510
196,379,4,514
197,381,6,520
198,383,2,522
199,384,4,526
200,385,5,531
201,386,6,537
202,387,7,544
203,388,6,550
204,392,3,553
205,393,5,558
206,394,4,562
207,395,2,564
208,397,2,566
209,398,3,569
210,401,2,571
211,402,1,572
212,405,1,573
213,406,5,578
214,407,2,580
215,408,2,582
216,409,2,584
217,412,3,587
218,413,1,588
219,414,9,597
220,415,10,607
221,416,2,609
222,417,2,611
223,419,2,613
224,420,4,617
225,421,4,621
226,422,4,625
227,423,3,628
228,426,1,629
229,427,3,632
230,428,5,637
231,429,6,643
232,430,5,648
233,433,11,659
234,434,6,665
235,435,14,679
236,436,2,681
237,437,2,683
238,440,4,687
239,441,4,691
240,443,4,695
241,444,4,699
242,447,4,703
243,448,5,708
244,449,10,718
245,450,2,720
246,451,1,721
247,452,1,722
248,454,3,725
249,455,2,727
250,456,2,729
251,457,2,731
252,458,4,735
253,459,1,736
254,460,1,737
255,461,1,738
256,462,1,739
257,463,1,740
258,464,1,741
259,467,5,746
260,468,6,752
261,469,5,757
262,470,6,763
