,day,number,total
0,0,1,1
1,41,1,2
2,241,1,3
3,304,1,4
4,437,1,5
5,444,1,6
6,520,1,7
7,683,1,8
8,684,1,9
9,751,1,10
10,846,1,11
11,893,1,12
12,975,1,13
13,983,1,14
14,1007,1,15
15,1055,1,16
16,1149,1,17
17,1154,1,18
18,1200,1,19
19,1202,1,20
20,1306,1,21
21,1313,10,31
22,1316,1,32
23,1318,1,33
24,1327,1,34
25,1333,1,35
26,1334,1,36
27,1336,1,37
28,1337,1,38
29,1339,1,39
30,1340,1,40
31,1342,1,41
32,1343,1,42
33,1344,1,43
34,1346,1,44
35,1347,1,45
36,1348,2,47
37,1349,2,49
38,1354,1,50
39,1358,1,51
40,1361,3,54
41,1363,3,57
42,1364,2,59
43,1366,1,60
44,1375,1,61
45,1378,1,62
46,1382,1,63
47,1385,2,65
48,1386,1,66
49,1388,2,68
50,1389,2,70
51,1390,2,72
52,1391,3,75
53,1392,1,76
54,1396,1,77
55,1397,1,78
56,1398,1,79
57,1400,1,80
58,1402,1,81
59,1403,1,82
60,1404,1,83
61,1405,1,84
62,1407,1,85
63,1410,2,87
64,1411,1,88
65,1412,1,89
66,1413,1,90
67,1416,3,93
68,1418,3,96
69,1419,1,97
70,1420,1,98
71,1421,1,99
72,1422,1,100
73,1423,1,101
74,1426,1,102
75,1427,1,103
76,1428,2,105
77,1429,1,106
78,1430,5,111
79,1431,1,112
80,1432,1,113
81,1433,2,115
82,1434,2,117
83,1435,4,121
84,1436,2,123
85,1437,1,124
86,1439,2,126
87,1440,1,127
88,1441,1,128
89,1444,1,129
90,1446,1,130
91,1447,1,131
92,1448,1,132
93,1449,1,133
94,1451,2,135
95,1452,1,136
96,1453,1,137
97,1456,1,138
98,1457,1,139
99,1458,1,140
100,1459,1,141
101,1460,3,144
102,1461,1,145
103,1462,3,148
104,1470,1,149
105,1471,1,150
106,1472,1,151
107,1473,1,152
108,1474,1,153
109,1475,5,158
110,1478,1,159
111,1479,2,161
112,1482,3,164
113,1483,1,165
114,1487,2,167
115,1489,2,169
116,1490,1,170
117,1491,1,171
118,1495,1,172
119,1496,1,173
120,1497,2,175
121,1498,1,176
122,1500,1,177
123,1501,1,178
124,1502,2,180
125,1503,3,183
126,1504,1,184
127,1505,1,185
128,1506,2,187
129,1507,1,188
130,1508,2,190
131,1515,3,193
132,1516,8,201
133,1517,1,202
134,1520,3,205
135,1521,2,207
136,1522,4,211
137,1523,6,217
138,1524,4,221
139,1525,2,223
140,1526,3,226
141,1527,2,228
142,1528,7,235
143,1529,6,241
144,1530,4,245
145,1531,3,248
146,1532,6,254
147,1533,2,256
148,1534,3,259
149,1535,2,261
150,1536,3,264
151,1537,3,267
152,1538,5,272
153,1540,2,274
154,1541,4,278
155,1542,4,282
156,1543,4,286
157,1544,7,293
158,1545,6,299
159,1546,1,300
160,1548,3,303
161,1550,4,307
162,1551,2,309
163,1552,1,310
164,1553,5,315
165,1554,2,317
166,1555,14,331
167,1557,2,333
168,1558,2,335
169,1560,1,336
170,1561,7,343
171,1562,10,353
172,1563,11,364
173,1564,20,384
174,1565,5,389
175,1566,2,391
176,1567,4,395
177,1568,3,398
178,1569,7,405
179,1570,8,413
180,1571,3,416
181,1572,1,417
182,1573,3,420
183,1576,3,423
184,1577,4,427
185,1578,8,435
186,1579,4,439
187,1580,1,440
188,1581,6,446
189,1582,14,460
190,1583,7,467
191,1584,5,472
192,1585,9,481
193,1586,4,485
194,1587,7,492
195,1588,5,497
196,1589,2,499
197,1590,2,501
198,1591,10,511
199,1592,4,515
200,1593,3,518
201,1594,4,522
202,1595,4,526
203,1596,3,529
204,1597,2,531
205,1598,3,534
206,1599,3,537
207,1600,4,541
208,1601,1,542
209,1603,1,543
210,1604,1,544
211,1608,2,546
212,1609,1,547
213,1610,2,549
214,1611,2,551
215,1612,1,552
216,1614,1,553
217,1615,1,554
218,1616,4,558
219,1617,8,566
220,1618,4,570
221,1619,5,575
222,1620,2,577
223,1621,3,580
224,1622,3,583
225,1624,2,585
226,1625,3,588
227,1626,5,593
228,1627,2,595
229,1630,1,596
230,1631,2,598
231,1632,3,601
232,1633,4,605
233,1634,8,613
234,1635,1,614
235,1636,26,640
236,1637,8,648
237,1638,2,650
238,1639,4,654
239,1640,3,657
240,1641,3,660
241,1642,2,662
242,1643,2,664
243,1644,2,666
244,1646,1,667
245,1647,3,670
246,1648,2,672
247,1649,1,673
248,1651,1,674
249,1653,1,675
250,1654,2,677
251,1655,2,679
252,1657,3,682
253,1658,1,683
254,1659,2,685
255,1660,2,687
256,1661,4,691
257,1662,5,696
258,1663,4,700
259,1664,2,702
260,1665,2,704
261,1666,3,707
262,1667,4,711
263,1668,4,715
264,1669,4,719
265,1670,1,720
266,1671,3,723
267,1672,2,725
268,1673,4,729
269,1674,8,737
270,1675,7,744
271,1676,2,746
272,1677,5,751
273,1678,4,755
274,1679,3,758
275,1680,1,759
276,1681,1,760
277,1682,3,763
278,1683,3,766
279,1684,1,767
280,1685,11,778
281,1686,1,779
282,1687,4,783
283,1688,2,785
284,1689,3,788
285,1690,2,790
286,1691,2,792
287,1693,2,794
288,1694,4,798
289,1695,5,803
290,1696,5,808
291,1697,1,809
292,1698,1,810
293,1699,10,820
294,1700,4,824
295,1701,5,829
296,1702,4,833
297,1703,5,838
298,1704,5,843
299,1705,10,853
300,1706,13,866
301,1707,7,873
302,1708,1,874
303,1710,5,879
304,1711,6,885
305,1712,5,890
306,1713,9,899
307,1714,5,904
308,1715,4,908
309,1717,12,920
310,1718,12,932
311,1719,8,940
312,1720,5,945
313,1721,4,949
314,1722,3,952
315,1723,4,956
316,1724,8,964
317,1725,6,970
318,1726,2,972
319,1727,4,976
320,1728,1,977
321,1729,6,983
322,1730,5,988
323,1731,11,999
324,1732,6,1005
325,1733,6,1011
326,1734,10,1021
327,1735,9,1030
328,1736,3,1033
329,1737,2,1035
330,1738,1,1036
331,1739,1,1037
332,1740,8,1045
333,1741,8,1053
334,1742,6,1059
335,1743,5,1064
336,1744,5,1069
337,1745,4,1073
338,1746,2,1075
339,1747,6,1081
340,1748,14,1095
341,1749,1,1096
342,1750,1,1097
343,1751,2,1099
344,1752,6,1105
345,1753,2,1107
346,1754,4,1111
347,1755,7,1118
348,1756,4,1122
349,1757,6,1128
350,1758,8,1136
351,1759,4,1140
352,1760,9,1149
353,1761,4,1153
354,1762,13,1166
355,1763,14,1180
356,1765,5,1185
357,1766,6,1191
358,1767,4,1195
359,1768,6,1201
360,1769,2,1203
361,1770,4,1207
362,1772,1,1208
363,1773,2,1210
364,1774,3,1213
365,1775,1,1214
366,1776,6,1220
367,1777,2,1222
368,1778,2,1224
369,1779,3,1227
370,1780,2,1229
371,1781,7,1236
372,1782,3,1239
373,1783,5,1244
374,1784,4,1248
375,1785,2,1250
376,1786,3,1253
377,1787,3,1256
378,1788,6,1262
379,1789,3,1265
380,1790,7,1272
381,1791,7,1279
382,1792,3,1282
383,1793,1,1283
384,1794,3,1286
385,1795,2,1288
386,1796,1,1289
387,1797,3,1292
388,1798,1,1293
389,1800,2,1295
390,1801,2,1297
