,day,number,total
0,0,1,1
1,1,1,2
2,6,2,4
3,8,2,6
4,9,8,14
5,13,1,15
6,15,3,18
7,16,1,19
8,17,1,20
9,19,2,22
10,20,1,23
11,22,2,25
12,23,2,27
13,26,2,29
14,28,5,34
15,30,4,38
16,34,2,40
17,35,5,45
18,36,4,49
19,37,3,52
20,42,7,59
21,43,1,60
22,44,1,61
23,45,1,62
24,47,1,63
25,48,1,64
26,50,5,69
27,51,3,72
28,53,11,83
29,54,4,87
30,55,3,90
31,56,2,92
32,57,4,96
33,58,1,97
34,61,1,98
35,62,5,103
36,63,5,108
37,64,3,111
38,65,6,117
39,67,1,118
40,68,1,119
41,69,2,121
42,70,4,125
43,71,8,133
44,72,3,136
45,76,5,141
46,77,4,145
47,78,4,149
48,79,1,150
49,82,5,155
50,83,5,160
51,84,2,162
52,85,2,164
53,86,6,170
54,88,1,171
55,90,2,173
56,91,2,175
57,92,3,178
58,93,3,181
59,94,1,182
60,95,3,185
61,96,7,192
62,97,5,197
63,98,4,201
64,99,11,212
65,100,3,215
66,101,1,216
67,102,1,217
68,103,3,220
69,104,5,225
70,105,5,230
71,106,2,232
72,108,1,233
73,110,2,235
74,111,4,239
75,112,3,242
76,113,4,246
77,114,4,250
78,115,1,251
79,117,1,252
80,118,2,254
81,120,1,255
82,121,1,256
83,124,2,258
84,125,3,261
85,127,2,263
86,128,3,266
87,129,4,270
88,130,1,271
89,131,3,274
90,132,4,278
91,133,5,283
92,134,1,284
93,135,2,286
94,136,2,288
95,138,3,291
96,139,3,294
97,140,3,297
98,141,4,301
99,142,2,303
100,145,3,306
101,147,1,307
102,148,1,308
103,150,1,309
104,152,1,310
105,153,3,313
106,154,1,314
107,155,6,320
108,156,4,324
109,157,1,325
110,159,3,328
111,161,2,330
112,162,4,334
113,163,1,335
114,165,1,336
115,166,1,337
116,167,2,339
117,168,10,349
118,169,9,358
119,170,10,368
120,172,1,369
121,173,1,370
122,174,4,374
123,175,7,381
124,176,3,384
125,177,8,392
126,179,1,393
127,180,16,409
128,181,10,419
129,182,10,429
130,183,3,432
131,184,9,441
132,185,2,443
133,187,7,450
134,188,2,452
135,189,9,461
136,190,4,465
137,191,1,466
138,192,4,470
139,193,2,472
140,194,7,479
141,195,14,493
142,196,9,502
143,197,9,511
144,198,10,521
145,199,1,522
146,200,1,523
147,201,2,525
148,202,5,530
149,203,4,534
150,204,4,538
151,205,3,541
152,206,2,543
153,207,1,544
154,208,5,549
155,209,2,551
156,210,8,559
157,211,3,562
158,213,2,564
159,214,1,565
160,215,3,568
161,216,7,575
162,217,4,579
163,218,8,587
164,219,10,597
165,220,5,602
166,221,3,605
167,222,4,609
168,223,5,614
169,224,3,617
170,225,4,621
171,226,9,630
172,227,2,632
173,228,1,633
174,229,5,638
175,230,7,645
176,231,5,650
177,232,5,655
178,233,4,659
179,234,2,661
180,235,1,662
181,236,5,667
182,237,3,670
183,238,1,671
184,239,2,673
185,240,5,678
186,241,2,680
187,243,3,683
188,244,7,690
189,245,1,691
190,246,4,695
191,247,6,701
192,250,2,703
193,251,4,707
194,252,2,709
195,253,8,717
196,254,3,720
197,256,2,722
198,257,9,731
199,258,3,734
200,259,6,740
201,260,4,744
202,264,6,750
203,265,7,757
204,266,6,763
205,267,7,770
206,268,3,773
207,269,1,774
208,271,2,776
209,272,3,779
210,273,2,781
211,274,3,784
212,275,1,785
213,277,1,786
214,278,4,790
215,279,1,791
216,280,8,799
217,281,4,803
218,282,3,806
219,283,2,808
220,285,3,811
221,286,3,814
222,287,7,821
223,288,1,822
224,289,3,825
225,290,1,826
226,292,1,827
227,293,3,830
228,294,1,831
229,295,2,833
230,296,1,834
